Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",1.04664635411045e+18
AUT Forestry and logging,1.6510406578753114e+17
AUT Fishing and aquaculture,3.96031812130049e+16
AUT Mining and quarrying,2.556153383006776e+18
"AUT Manufacture of food products, beverages and tobacco products",9.724291187052904e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.3105562113010694e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.981824953622323e+17
AUT Manufacture of paper and paper products,4.1068885074434234e+17
AUT Printing and reproduction of recorded media,5.4624411642896486e+17
AUT Manufacture of coke and refined petroleum products ,1.620145268495264e+18
AUT Manufacture of chemicals and chemical products ,9.631630187456504e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.692701921073733e+17
AUT Manufacture of rubber and plastic products,6.747806136333966e+17
AUT Manufacture of other non-metallic mineral products,5.667580909975914e+17
AUT Manufacture of basic metals,1.9330805049029422e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.037561444339506e+18
"AUT Manufacture of computer, electronic and optical products",2.2315583159769827e+17
AUT Manufacture of electrical equipment,1.9929178953711395e+17
AUT Manufacture of machinery and equipment n.e.c.,3.704099582557127e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.1116328107055866e+17
AUT Manufacture of other transport equipment,3.334504918473166e+17
AUT Manufacture of furniture; other manufacturing,1.6332223349776634e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5075454666291382e+18
"AUT Water collection, treatment and supply",5.305906547255284e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.182336379597168e+16
AUT Construction,3.737321377561105e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.509758213658349e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.7972496200168837e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.329299438219456e+17
AUT Land transport and transport via pipelines,1.2269354342850125e+18
AUT Water transport,4.5700397457091194e+17
AUT Air transport,1.4417832503900588e+18
AUT Warehousing and support activities for transportation,2.0033081614910362e+18
AUT Postal and courier activities,7.967289119453917e+17
AUT Accommodation and food service activities,6.984963709392264e+17
AUT Publishing activities,6.145686878258458e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1240626225988997e+18
AUT Telecommunications,1.8076415866002621e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.039458337244812e+18
"AUT Financial service activities, except insurance and pension funding",3.2237308265124864e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.5267113850869696e+17
AUT Activities auxiliary to financial services and insurance activities,7.736127854055728e+18
AUT Real estate activities,3.522182027961017e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.280047644918214e+18
AUT Administrative and support service activities,5.138681365365106e+18
AUT Public administration and defence; compulsory social security,1.0101633883025253e+18
AUT Education,3.972040439672969e+17
AUT Human health and social work activities,5.43218912896919e+16
AUT Other service activities,1.4796846458348915e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.167135156119884e+17
