Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",5603.2
AUT Forestry and logging,190.2
AUT Fishing and aquaculture,575.0
AUT Mining and quarrying,5341.6
"AUT Manufacture of food products, beverages and tobacco products",19698.1
"AUT Manufacture of textiles, wearing apparel and leather products",890.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",463.8
AUT Manufacture of paper and paper products,947.1
AUT Printing and reproduction of recorded media,228.1
AUT Manufacture of coke and refined petroleum products ,5657.3
AUT Manufacture of chemicals and chemical products ,2194.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1237.1
AUT Manufacture of rubber and plastic products,1493.2
AUT Manufacture of other non-metallic mineral products,692.6
AUT Manufacture of basic metals,764.5
"AUT Manufacture of fabricated metal products, except machinery and equipment",2783.3
"AUT Manufacture of computer, electronic and optical products",2386.3
AUT Manufacture of electrical equipment,2615.8
AUT Manufacture of machinery and equipment n.e.c.,4328.5
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8465.8
AUT Manufacture of other transport equipment,3363.4
AUT Manufacture of furniture; other manufacturing,2242.2
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",9937.0
"AUT Water collection, treatment and supply",4576.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",676.9
AUT Construction,118127.6
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5147.0
"AUT Wholesale trade, except of motor vehicles and motorcycles",37103.0
"AUT Retail trade, except of motor vehicles and motorcycles",50659.7
AUT Land transport and transport via pipelines,12008.8
AUT Water transport,11.6
AUT Air transport,693.4
AUT Warehousing and support activities for transportation,5889.7
AUT Postal and courier activities,5.0
AUT Accommodation and food service activities,33758.3
AUT Publishing activities,4054.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2304.7
AUT Telecommunications,10957.6
"AUT Computer programming, consultancy and related activities; information service activities",9486.1
"AUT Financial service activities, except insurance and pension funding",21314.1
"AUT Insurance, reinsurance and pension funding, except compulsory social security",24817.2
AUT Activities auxiliary to financial services and insurance activities,1976.8
AUT Real estate activities,74296.1
AUT Legal and accounting activities; activities of head offices; management consultancy activities,15477.8
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,3811.0
AUT Public administration and defence; compulsory social security,64124.0
AUT Education,38254.4
AUT Human health and social work activities,55489.9
AUT Other service activities,16862.0
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6291.2
AUT Activities of extraterritorial organizations and bodies,0.0
